replicate,delta_rank
330,0.04694506726457399
331,0.04867962132536123
332,0.051829534130543094
333,0.05513670901843547
334,0.05233401843547583
335,0.054675822122570994
336,0.050501370204284995
337,0.054973218734429494
338,0.044863290981564524
339,0.046884342301943195
340,0.050672645739910316
341,0.04890072247135027
342,0.05686970602889885
343,0.06777840059790732
344,0.05233401843547583
345,0.05118180119581465
346,0.05017906078724464
347,0.04874346038863976
348,0.06016131041355257
349,0.0487185475834579
350,0.057448928749377175
351,0.060639324862979564
352,0.05863540109616343
353,0.04906576980568011
354,0.043935288988540114
355,0.056363664673642254
356,0.05510401096163428
357,0.05849682361733931
358,0.048366654210264065
359,0.043454160438465374
360,0.04183794220229198
361,0.06393248629795714
362,0.05300199302441455
363,0.05945908071748879
364,0.04457679372197309
365,0.06183825361235675
366,0.05848748131539611
367,0.04489910313901345
368,0.043295341305430994
369,0.04628332087693073
370,0.04972751619332336
371,0.04656514698555057
372,0.06263702042850025
373,0.057109491778774286
374,0.06533850274040857
375,0.05177192326856004
376,0.05137643248629795
377,0.045588876432486304
378,0.046513764324862976
379,0.0489832461385152
380,0.04976644245142003
381,0.05837381664175386
382,0.05218298455406078
383,0.05323710762331838
384,0.034722222222222224
385,0.052013266068759334
386,0.055826482311908315
387,0.050085637767812656
388,0.05361079970104633
389,0.04353979820627803
390,0.041906452416542096
391,0.05578599900348779
392,0.06439181614349775
393,0.06223685849526656
394,0.05180462132536123
395,0.043637892376681614
396,0.055568011958146486
397,0.04764262580966617
398,0.05118335824613851
399,0.056998941205779766
400,0.04545029895366218
401,0.06143497757847533
402,0.05726208271051321
403,0.05838315894369707
404,0.04072309417040358
405,0.05346132286995515
406,0.05326202042850025
407,0.045289922770303935
408,0.0479151096163428
409,0.06212786497259591
410,0.0494799451918286
411,0.05680586696562033
412,0.04461416292974589
413,0.05252242152466368
414,0.04413459142999502
415,0.05493273542600897
416,0.056329409566517184
417,0.044861733931240655
418,0.04904241405082212
419,0.057322807673143995
420,0.06413957399103139
421,0.04649352267065271
422,0.04681738913801693
423,0.04878394369706029
424,0.04193759342301943
425,0.05657230941704035
426,0.04907822620827104
427,0.055463689586447436
428,0.054048330842052815
429,0.047472907324364724
430,0.04616498505231689
431,0.04649819382162431
432,0.06666199551569507
