clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4
L101216,Cisplatin,1,0,0.19458719593808257,0.1285001353508123,0.23354746247873442,0.15779525375665013,0.08172773534626894
L101216,CoCl2,1,0,0.23560044533301658,0.16523808794754982,0.23354746247873442,0.19539783496908053,0.10756583476679756
L101216,Dabrafenib,1,0,0.23203384804524899,0.16192761691258467,0.23354746247873442,0.19206317253215763,0.10519173880034155
L101216,Doxorubicin,1,1,0.29979943088858513,0.22807998864071088,0.23354746247873442,0.25749140378032903,0.1545160887188314
L101216,Trametinib,1,0,0.19726215106258552,0.13081228206688,0.23354746247873442,0.16019749742497202,0.083315693766345
L101260,Acid,4,1,0.4785299066468458,0.5848915139737458,0.26370736352373547,0.49155575370861204,0.6176793422999638
L101260,Cisplatin,4,0,0.19815483583226198,0.22357011985481173,0.26370736352373547,0.18918625282804385,0.24060627730013884
L101260,CoCl2,4,0,0.22936006970462597,0.26504023076108213,0.26370736352373547,0.22145599138426691,0.285003821418568
L101260,Dabrafenib,4,1,0.2240101926936385,0.2578908613459247,0.26370736352373547,0.21587745223919758,0.2773497951574156
L101260,Doxorubicin,4,1,0.2891002187573746,0.34519049595410295,0.26370736352373547,0.28496038363879034,0.37081944944397555
L101260,Trametinib,4,1,0.191021945485207,0.2141718800980559,0.26370736352373547,0.18190485572156542,0.23056675646036742
L102089,Acid,0,1,0.4736194759800148,0.28466937869202136,0.2940150869858899,0.5214465884597104,0.36960272864728344
L102089,Cisplatin,0,0,0.18583642087064267,0.06962987611271007,0.2940150869858899,0.19899439930904855,0.09594401462725938
L102089,CoCl2,0,0,0.22867007436383363,0.09320675900005541,0.2940150869858899,0.24683763888720542,0.12789085252480042
L102089,Dabrafenib,0,0,0.24473499838108828,0.10282400034002308,0.2940150869858899,0.26494945534267667,0.1408262170963716
L102089,Doxorubicin,0,1,0.2866788719209133,0.1298040178991264,0.2940150869858899,0.3125770458528923,0.177005631184991
L102089,Trametinib,0,0,0.20368386704128424,0.07910975095779173,0.2940150869858899,0.21884059892417557,0.10880192713050907
L102444,Acid,2,1,0.4723002644704608,0.6558774992811683,0.37891445992475453,0.6268032468245038,0.6526716978740882
L102444,Cisplatin,2,0,0.20261025237344546,0.2905015156662419,0.37891445992475453,0.2966757644026225,0.28466247846655374
L102444,CoCl2,2,1,0.22668291955083833,0.3278895491695717,0.37891445992475453,0.32945026406912215,0.32203429376166737
L102444,Dabrafenib,2,0,0.22668291955083833,0.3278895491695718,0.37891445992475453,0.3294502640691223,0.3220342937616674
L102444,Doxorubicin,2,0,0.2819646373115759,0.4114369858772221,0.37891445992475453,0.40239247279179297,0.40641599484102486
L102444,Trametinib,2,0,0.19458603455920903,0.2779393054784328,0.37891445992475453,0.28561992802512004,0.2721857060491435
L102484,Acid,2,1,0.4723002644704608,0.28798107904013687,0.23982393186491227,0.4565610564299103,0.3503874880026289
L102484,Cisplatin,2,0,0.20261025237344546,0.07994198058564067,0.23982393186491227,0.17423575707779934,0.10251470437719729
L102484,CoCl2,2,0,0.22668291955083833,0.0938138784504659,0.23982393186491227,0.19727803642909275,0.11998429892510064
L102484,Dabrafenib,2,1,0.22668291955083833,0.09381387845046599,0.23982393186491227,0.19727803642909286,0.11998429892510064
L102484,Doxorubicin,2,0,0.2819646373115759,0.12918161513286344,0.23982393186491227,0.25195207443273715,0.16424975029512517
L102484,Trametinib,2,1,0.19458603455920903,0.07551591043043948,0.23982393186491227,0.16666151947652488,0.0969395818400203
L10299,Acid,3,1,0.47049894201675735,0.8385009983202426,0.37600666174585395,0.6241686812509875,0.819765016647255
L10299,Cisplatin,3,1,0.1901270509498604,0.5178088218628984,0.37600666174585395,0.28273336097557544,0.4667486334003642
L10299,CoCl2,3,1,0.2186598922625351,0.5698800915479982,0.37600666174585395,0.3219839420139767,0.5207321453469708
L10299,Dabrafenib,3,0,0.2186598922625351,0.569880091547999,0.37600666174585395,0.3219839420139767,0.5207321453469708
L10299,Doxorubicin,3,1,0.2882083795228566,0.6741527251635806,0.37600666174585395,0.4141521734192,0.6329968005078229
L10299,Trametinib,3,0,0.19191054568686872,0.5212487555439478,0.37600666174585395,0.2852096353240516,0.4702631265110495
L103055,Acid,1,0,0.47587273821028014,0.6445440917976828,0.28063430149231083,0.5062445170348479,0.4962505231637603
L103055,Cisplatin,1,0,0.19458719593808257,0.27186385475979635,0.28063430149231083,0.19580623279902198,0.15804292026951253
L103055,CoCl2,1,0,0.23560044533301658,0.33388625965908886,0.28063430149231083,0.239886813163134,0.20268261261812753
L103055,Dabrafenib,1,0,0.23203384804524899,0.3285267461820262,0.28063430149231083,0.23601561339113605,0.1986765449402098
L103055,Doxorubicin,1,0,0.29979943088858513,0.42798295447414825,0.28063430149231083,0.3106594814364929,0.27820703061995056
L103055,Trametinib,1,0,0.19726215106258552,0.27593882978043827,0.28063430149231083,0.19865065692693037,0.16085393082046406
L103561,Acid,1,0,0.47587273821028014,0.5091537836307407,0.3504568294058908,0.5904671278106735,0.5993248588658174
L103561,Cisplatin,1,0,0.19458719593808257,0.17599667985958187,0.3504568294058908,0.2550614458029901,0.2217993247885192
L103561,CoCl2,1,0,0.23560044533301658,0.22284162612133596,0.3504568294058908,0.3073829835195624,0.27849070882156807
L103561,Dabrafenib,1,1,0.23203384804524899,0.21867941902720708,0.3504568294058908,0.30285654420711716,0.273500254204915
L103561,Doxorubicin,1,0,0.29979943088858513,0.2997248977938739,0.3504568294058908,0.38790654015570575,0.36918335994970547
L103561,Trametinib,1,1,0.19726215106258552,0.17898792661980484,0.3504568294058908,0.2584899745960193,0.22544069437858125
L103874,Acid,1,0,0.47587273821028014,0.2846492613888907,0.28757940189630016,0.5149304673513619,0.23767199510836806
L103874,Cisplatin,1,0,0.19458719593808257,0.07572901961696576,0.28757940189630016,0.20133772992593826,0.05607537380773788
L103874,CoCl2,1,0,0.23560044533301658,0.09909531796825004,0.28757940189630016,0.24628221955325405,0.07446114059136084
L103874,Dabrafenib,1,0,0.23203384804524899,0.0969560750019377,0.28757940189630016,0.24234071772260937,0.07275813273867648
L103874,Doxorubicin,1,0,0.29979943088858513,0.14103226746692055,0.28757940189630016,0.3181519550741385,0.10872221759919624
L103874,Trametinib,1,0,0.19726215106258552,0.07717572323658099,0.28757940189630016,0.20424210086614178,0.05719595538858493
L104099,Acid,4,1,0.4785299066468458,0.858898862239138,0.3452782136292495,0.5925113902085719,0.8914452100188976
L104099,Cisplatin,4,1,0.19815483583226198,0.5543609111658495,0.3452782136292495,0.25976908904022816,0.6169259485942684
L104099,CoCl2,4,1,0.22936006970462597,0.6090578440157818,0.3452782136292495,0.2996291742779255,0.6695398395189123
L104099,Dabrafenib,4,1,0.2240101926936385,0.6002070584180019,0.3452782136292495,0.29282207790510406,0.6611074714961831
L104099,Doxorubicin,4,1,0.2891002187573746,0.6948812314614055,0.3452782136292495,0.3747598324844111,0.7497306359457586
L104099,Trametinib,4,1,0.191021945485207,0.5407416077298749,0.3452782136292495,0.25061075982423625,0.6036663912792865
L10419,Acid,2,1,0.4723002644704608,0.6676818497714082,0.3208956640800616,0.5621853241718086,0.6848764413962375
L10419,Cisplatin,2,0,0.20261025237344546,0.30149120917983935,0.3208956640800616,0.2438531808165171,0.3151868350971706
L10419,CoCl2,2,1,0.22668291955083833,0.339616605755387,0.3208956640800616,0.27305778467493175,0.3545796456846987
L10419,Dabrafenib,2,0,0.22668291955083833,0.33961660575538716,0.3208956640800616,0.2730577846749319,0.3545796456846987
L10419,Doxorubicin,2,1,0.2819646373115759,0.4242659198431811,0.3208956640800616,0.3398422256981821,0.4419303080744345
L10419,Trametinib,2,0,0.19458603455920903,0.28864710844455554,0.3208956640800616,0.2341105848165568,0.3019368861180012
L10467,Acid,2,0,0.4723002644704608,0.2807695161874157,0.20891171410055487,0.4108200952508826,0.2206419344991561
L10467,Cisplatin,2,0,0.20261025237344546,0.07737396318390978,0.20891171410055487,0.1490234028930499,0.056562521367004556
L10467,CoCl2,2,0,0.22668291955083833,0.09084424576363263,0.20891171410055487,0.1694154730729415,0.06678408038280105
L10467,Dabrafenib,2,0,0.22668291955083833,0.09084424576363272,0.20891171410055487,0.16941547307294158,0.06678408038280105
L10467,Doxorubicin,2,0,0.2819646373115759,0.1252471706812583,0.20891171410055487,0.21846921622673968,0.09350804380130344
L10467,Trametinib,2,0,0.19458603455920903,0.07307878074846619,0.20891171410055487,0.14235623158703894,0.053337926299925585
L104690,Acid,4,1,0.4785299066468458,0.6652924983248589,0.3006719531946305,0.5393601871686743,0.5938731187462216
L104690,Cisplatin,4,0,0.19815483583226198,0.2888660030177321,0.3006719531946305,0.2203274800573034,0.22286147827229494
L104690,CoCl2,4,0,0.22936006970462597,0.3371879783359144,0.3006719531946305,0.25623040195812563,0.26512785926688576
L104690,Dabrafenib,4,0,0.2240101926936385,0.32896353791454835,0.3006719531946305,0.250057236967256,0.25781514528268673
L104690,Doxorubicin,4,1,0.2891002187573746,0.42649533331508277,0.3006719531946305,0.32553706244108127,0.34787054181179566
L104690,Trametinib,4,0,0.191021945485207,0.2777046603980344,0.3006719531946305,0.21216114129451427,0.21335435255871102
L104947,Acid,4,1,0.4785299066468458,0.6628333245662733,0.3873574438990008,0.6378670714467978,0.768475199186999
L104947,Cisplatin,4,1,0.19815483583226198,0.2866067891253402,0.3873574438990008,0.2982997178531232,0.3942822772802302
L104947,CoCl2,4,1,0.22936006970462597,0.334728727665821,0.3873574438990008,0.3413457425592939,0.45022463955698844
L104947,Dabrafenib,4,1,0.2240101926936385,0.32653472020841506,0.3873574438990008,0.33404293546226166,0.4408694275650299
L104947,Doxorubicin,4,0,0.2891002187573746,0.4238012031386855,0.3873574438990008,0.4206540515628194,0.5476817965553576
L104947,Trametinib,4,1,0.191021945485207,0.2754989212548642,0.3873574438990008,0.2883120572159557,0.381048028555032
L105502,Acid,1,1,0.47587273821028014,0.2846492613888907,0.32063781557625837,0.5558098021765489,0.30472600993533816
L105502,Cisplatin,1,0,0.19458719593808257,0.07572901961696576,0.32063781557625837,0.22907868951713467,0.0770758422651251
L105502,CoCl2,1,0,0.23560044533301658,0.09909531796825004,0.32063781557625837,0.27805978027734657,0.10160598313269288
L105502,Dabrafenib,1,0,0.23203384804524899,0.0969560750019377,0.32063781557625837,0.273794451987338,0.09934878410096004
L105502,Doxorubicin,1,0,0.29979943088858513,0.14103226746692055,0.32063781557625837,0.3548371002991688,0.14638157241847385
L105502,Trametinib,1,0,0.19726215106258552,0.07717572323658099,0.32063781557625837,0.23226685559824092,0.07858114980623716
L10551,Acid,2,0,0.4723002644704608,0.41824820551231073,0.170986550187032,0.3491349213568816,0.29494274114556746
L10551,Cisplatin,2,0,0.20261025237344546,0.13378550711129356,0.170986550187032,0.11872613183660281,0.08137933701465681
L10551,CoCl2,2,0,0.22668291955083833,0.15542226908653953,0.170986550187032,0.13563316552053836,0.09563101653361643
L10551,Dabrafenib,2,0,0.22668291955083833,0.15542226908653958,0.170986550187032,0.13563316552053847,0.0956310165336164
L10551,Doxorubicin,2,0,0.2819646373115759,0.20866797340549004,0.170986550187032,0.1769897017828631,0.1322622244810356
L10551,Trametinib,2,0,0.19458603455920903,0.1267891472075863,0.170986550187032,0.11323406872146838,0.07685520343016698
L105784,Acid,1,0,0.47587273821028014,0.5091537836307407,0.3406932816606597,0.5797610962252431,0.40800776485516377
L105784,Cisplatin,1,0,0.19458719593808257,0.17599667985958187,0.3406932816606597,0.24677234126428987,0.1160815834800087
L105784,CoCl2,1,0,0.23560044533301658,0.22284162612133596,0.3406932816606597,0.29807388204007657,0.15099470148489652
L105784,Dabrafenib,1,0,0.23203384804524899,0.21867941902720708,0.3406932816606597,0.2936264112765018,0.14782085040696702
L105784,Doxorubicin,1,0,0.29979943088858513,0.2997248977938739,0.3406932816606597,0.3774878902033389,0.21238948329778937
