clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4
L173735,Cisplatin,2,0.6931471805599453,0.9540993104414771,0.6116366861527445,1.2221488905201698,0.9380154623846567,0.5793425854791387
L173885,Acid,3,0.6931471805599453,1.4294052202142031,1.3458757313507974,1.2585254887357948,1.4321509592916204,1.338119711100282
L173885,CoCl2,3,0.6931471805599453,1.1229493612824308,0.9791754346893868,1.2585254887357948,1.1627641623658573,0.9600773967174328
L173885,Dabrafenib,3,2.1972245773362196,1.2955998343662156,1.2611246514706451,1.2585254887357948,1.2735787831491963,1.1630754872426474
L173885,Doxorubicin,3,1.791759469228055,1.059425212089834,1.0028551426400616,1.2585254887357948,1.0919663166561435,0.9708986413745908
L173885,Trametinib,3,1.9459101490553132,1.3477797900478352,1.3221135071966819,1.2585254887357948,1.3357864493991976,1.223997397141558
L17420,Acid,0,1.791759469228055,1.4276384785961345,1.7970756263806975,1.2917339362433915,1.4474003405080307,1.833215538440532
L17420,Cisplatin,0,0.6931471805599453,0.9726711059332541,1.2982632781264154,1.2917339362433915,0.9922083390500914,1.3746956940669859
L17420,Dabrafenib,0,1.3862943611198906,1.3293740847986915,1.7119661064586995,1.2917339362433915,1.3401546970925735,1.7031210390629166
L174555,Acid,0,1.0986122886681098,1.4276384785961345,1.1663576894374204,1.2581507017835705,1.405001486142812,1.1745201756620294
L174555,Dabrafenib,0,1.0986122886681098,1.3293740847986915,1.0812481695154221,1.2581507017835705,1.2977558427273548,1.044425676284414
L174555,Doxorubicin,0,0.6931471805599453,1.0906169960232415,0.8052558930312219,1.2581507017835705,1.0958441545319033,0.8137771278966619
L175598,CoCl2,3,1.0986122886681098,1.1229493612824308,0.8300308497964871,1.1195164149164387,1.0448800854068803,0.7871573204093445
L175598,Doxorubicin,3,0.6931471805599453,1.059425212089834,0.853710557747162,1.1195164149164387,0.9740822396971668,0.7979785650665026
L175598,Trametinib,3,0.6931471805599453,1.3477797900478352,1.1729689223037822,1.1195164149164387,1.217902372440221,1.0510773208334698
L176569,Acid,4,0.6931471805599453,1.4591012200707234,1.1484648501086683,1.2431214625389184,1.432307039218418,1.1070996135245468
L176645,Doxorubicin,0,0.6931471805599453,1.0906169960232415,0.97254895979435,1.4348662391243912,1.2606313483474492,0.9694002878631723
L177128,Acid,3,3.258096538021482,1.4294052202142031,1.928452271456798,1.3241193898229315,1.4944342234332757,2.031410376105031
L177128,Dabrafenib,3,2.9444389791664403,1.2955998343662156,1.8437011915766455,1.3241193898229315,1.3358620472908516,1.856366152247396
L177128,Doxorubicin,3,1.791759469228055,1.059425212089834,1.5854316827460622,1.3241193898229315,1.1542495807977988,1.6641893063793394
L177128,Trametinib,3,4.532599493153256,1.3477797900478352,1.9046900473026822,1.3241193898229315,1.3980697135408529,1.9172880621463069
L177252,Doxorubicin,2,0.6931471805599453,1.1003288977324217,0.8089180128660887,1.2020022547162335,1.0773565073455726,0.7718418620042068
L177375,Acid,3,2.4849066497880004,1.4294052202142031,1.5593416954191681,1.2171118513967172,1.39265246751005,1.6144933009138416
L177375,Dabrafenib,3,2.9444389791664403,1.2955998343662156,1.4745906155390158,1.2171118513967172,1.2340802913676259,1.439449077056207
L177375,Trametinib,3,3.4657359027997265,1.3477797900478352,1.5355794712650526,1.2171118513967172,1.2962879576176272,1.5003709869551178
L177976,Dabrafenib,2,2.3978952727983707,1.272899240139292,1.0008365553906673,1.1176653717005578,1.138026228790289,0.9418459463272815
L177976,Trametinib,2,2.995732273553991,1.3613179452904967,1.1020301320942483,1.1176653717005578,1.2237117480258926,1.0357048206320523
L178651,Acid,1,2.1972245773362196,1.4447324299693032,1.8174632431397133,1.3505743780392632,1.5160547969258171,2.0314426175280182
L178651,Cisplatin,1,0.6931471805599453,0.9853221182635075,1.3012677478398817,1.3505743780392632,1.045369273381946,1.5039577461207494
L178651,Dabrafenib,1,1.3862943611198906,1.3466064801566926,1.7503665511011939,1.3505743780392632,1.3793316590973732,1.8654732505985117
L178651,Doxorubicin,1,0.6931471805599453,1.0695168105300787,1.4574684323998393,1.3505743780392632,1.1678815605274364,1.6387860306186954
L178651,Trametinib,1,0.6931471805599453,1.4489731040578087,1.861064026913247,1.3505743780392632,1.4747403801039762,1.966867489821928
L17873,Acid,0,1.0986122886681098,1.4276384785961345,1.9359447762680229,1.298822184117416,1.4539703077875337,1.92770722366954
L17873,Cisplatin,0,1.0986122886681098,0.9726711059332541,1.4371324280137405,1.298822184117416,0.9987783063295943,1.469187379295994
L17873,CoCl2,0,0.6931471805599453,1.1370030390709425,1.545558169390211,1.298822184117416,1.1822671521360626,1.576507427357989
L17906,Acid,1,0.6931471805599453,1.4447324299693032,1.3473413828821037,1.288373780216599,1.4792365607373266,1.1276839174554423
L179168,Dabrafenib,2,1.3862943611198906,1.272899240139292,1.1106202094576938,1.3128184353654726,1.3487544376530727,1.1470033501246641
L179382,Dabrafenib,0,0.6931471805599453,1.3293740847986915,1.0524176463692831,1.1386903684679988,1.1952251022033584,1.282731322388671
L179382,Trametinib,0,0.6931471805599453,1.4533565151718433,1.1957357065398426,1.1386903684679988,1.3101008094934676,1.4031055042642127
L179636,Acid,1,2.6390573296152584,1.4447324299693032,1.5458602532696404,1.3389178698021882,1.5034254261776667,1.5695238433869347
L180119,Acid,1,1.3862943611198906,1.4447324299693032,1.7924371784055686,1.3043777963632932,1.4766221228234417,1.825719502606911
L180119,CoCl2,1,0.6931471805599453,1.1088793216866093,1.402590892314258,1.3043777963632932,1.1673782617029578,1.4373683402473718
L180119,Dabrafenib,1,0.6931471805599453,1.3466064801566926,1.725340486367049,1.3043777963632932,1.3398989849949978,1.6597501356774045
L180119,Doxorubicin,1,1.3862943611198906,1.0695168105300787,1.4324423676656945,1.3043777963632932,1.128448886425061,1.4330629156975883
L181437,Acid,0,0.6931471805599453,1.4276384785961345,1.578215186948092,1.2641963291838445,1.4234095865385739,1.530598736859645
L181437,Cisplatin,0,0.6931471805599453,0.9726711059332541,1.07940283869381,1.2641963291838445,0.9682175850806345,1.0720788924860989
L181437,CoCl2,0,1.3862943611198906,1.1370030390709425,1.1878285800702804,1.2641963291838445,1.1517064308871028,1.179398940548094
L181765,Acid,4,1.0986122886681098,1.4591012200707234,1.1293009218060899,1.5825255119925075,1.7542008752684235,1.865208559166453
L181765,Doxorubicin,4,1.0986122886681098,1.104008862881897,0.796028117110722,1.5825255119925075,1.4295612311222208,1.5091072529708973
L183358,Acid,0,3.295836866004329,1.4276384785961345,1.8503969718813638,1.283218737209396,1.4413250092873495,1.802372891275836
L183358,Cisplatin,0,0.6931471805599453,0.9726711059332541,1.3515846236270816,1.283218737209396,0.9861330078294102,1.34385304690229
L183358,CoCl2,0,1.791759469228055,1.1370030390709425,1.460010365003552,1.283218737209396,1.1696218536358787,1.4511730949642851
L183358,Doxorubicin,0,1.6094379124341003,1.0906169960232415,1.4892951754751653,1.283218737209396,1.1321676776764409,1.4416298435104689
L183531,Acid,2,1.0986122886681098,1.4245281818738489,1.369847644809314,1.1380464259495096,1.3147518911253322,1.4304379806748486
L183531,Cisplatin,2,1.0986122886681098,0.9540993104414771,0.8344058473494073,1.1380464259495096,0.8473913623076126,0.8983370457572725
L183531,Dabrafenib,2,0.6931471805599453,1.272899240139292,1.233304853087436,1.1380464259495096,1.1700654674872548,1.2380194568434888
L183654,Acid,3,4.406719247264253,1.4294052202142031,2.355773912742767,1.3474477075608127,1.5095036259834214,2.439746022205525
L183654,Cisplatin,3,0.6931471805599453,0.9434888376032666,1.8554671620836778,1.3474477075608127,1.0327044071381426,1.9325957444025177
L183654,CoCl2,3,0.6931471805599453,1.1229493612824308,1.9890736160813565,1.3474477075608127,1.240116829057658,2.061703707822676
L183654,Doxorubicin,3,1.0986122886681098,1.059425212089834,2.0127533240320314,1.3474477075608127,1.1693189833479445,2.072524952479834
L18366,Cisplatin,1,1.6094379124341003,0.9853221182635075,0.7990960912910594,1.3705694333376488,1.071874665120181,0.8720856709402802
L18366,Dabrafenib,1,3.6888794541139363,1.3466064801566926,1.2481948945523713,1.3705694333376488,1.4058370508356082,1.2336011754180425
