ACTUAL_rna_age_covnorm,ACTUAL_rna_age_ranknorm,ACTUAL_rna_age_raw,ACTUAL_rna_age_resid_both,ACTUAL_rna_age_resid_cc,ACTUAL_rna_age_resid_pluri,ACTUAL_rna_age_top100,ACTUAL_rna_age_top2000,ACTUAL_rna_age_top500,ACTUAL_rna_dage_covnorm,ACTUAL_rna_dage_ranknorm,ACTUAL_rna_dage_raw,ACTUAL_rna_dage_resid_both,ACTUAL_rna_dage_resid_cc,ACTUAL_rna_dage_resid_pluri,ACTUAL_rna_dage_top100,ACTUAL_rna_dage_top2000,ACTUAL_rna_dage_top500,ERROR_covnorm_mt,ERROR_covnorm_sb,ERROR_ranknorm_mt,ERROR_ranknorm_sb,ERROR_raw_mt,ERROR_raw_sb,ERROR_resid_both_mt,ERROR_resid_both_sb,ERROR_resid_cc_mt,ERROR_resid_cc_sb,ERROR_resid_pluri_mt,ERROR_resid_pluri_sb,ERROR_top100_mt,ERROR_top100_sb,ERROR_top2000_mt,ERROR_top2000_sb,ERROR_top500_mt,ERROR_top500_sb,TRUTH_meth_age_mt,TRUTH_meth_age_sb,TRUTH_meth_dage_mt,TRUTH_meth_dage_sb,arm_set,condition,day,donor,is_control,n_replicates
121.875,146.216,116.518,16.468,25.037,16.615,96.373,107.08,120.298,1.137,-2.578,1.014,3.061,0.975,3.079,3.166,4.121,5.612,-3.765,3.746,-7.479,0.032,-3.888,3.623,-1.841,5.67,-3.926,3.584,-1.822,5.688,-1.736,5.775,-0.78,6.731,0.711,8.221,53.555,56.081,4.902,-2.609,transient,failed_to_transiently_reprogram,10,O2,False,1
112.46,146.125,108.123,8.49,16.822,8.584,93.192,98.878,114.635,-8.914,-4.056,-7.948,-5.767,-9.138,-5.397,1.388,-4.763,-0.861,-5.124,-15.657,-0.267,-10.8,-4.158,-14.691,-1.978,-12.511,-5.349,-15.882,-1.607,-12.14,5.177,-5.356,-0.974,-11.507,2.928,-7.605,44.983,63.87,-3.789,6.744,transient,failed_to_transiently_reprogram,13,O2,False,2
112.285,147.807,107.967,10.225,16.775,10.292,92.359,97.798,112.241,-8.229,-0.754,-7.337,-3.385,-8.61,-2.983,1.803,-4.779,-1.797,-9.511,-15.084,-2.036,-7.609,-8.619,-14.193,-4.667,-10.24,-9.892,-15.465,-4.265,-9.838,0.521,-5.052,-6.062,-11.635,-3.079,-8.653,51.842,64.33,1.282,6.856,transient,failed_to_transiently_reprogram,15,O2,False,2
108.562,147.787,104.647,4.948,13.309,5.053,89.712,94.999,110.448,-18.334,-2.769,-16.347,-13.991,-16.5,-13.937,-1.254,-12.42,-7.228,-10.73,-15.04,4.836,0.525,-8.743,-13.053,-6.387,-10.697,-8.896,-13.206,-6.332,-10.643,6.35,2.04,-4.816,-9.126,0.377,-3.934,44.033,56.061,-7.604,-3.294,transient,failed_to_transiently_reprogram,17,O2,False,2
80.739,147.519,79.839,2.531,-12.844,3.123,71.995,64.303,81.835,-39.999,-1.274,-35.665,-10.877,-36.906,-10.413,-21.213,-38.655,-32.851,-34.837,-38.779,3.887,-0.055,-30.503,-34.445,-5.716,-9.658,-31.744,-35.686,-5.252,-9.194,-16.052,-19.994,-33.494,-37.436,-27.69,-31.632,43.492,57.471,-5.161,-1.219,transient,failing_to_transiently_reprogram_intermediate,10,O2,False,1
79.91,148.34,79.1,11.757,-12.06,11.919,71.186,65.069,84.59,-41.463,-1.841,-36.971,-2.501,-38.02,-2.062,-20.618,-38.573,-30.906,-34.3,-41.24,5.321,-1.618,-29.808,-36.748,4.662,-2.278,-30.857,-37.797,5.101,-1.839,-13.455,-20.395,-31.41,-38.35,-23.743,-30.683,41.61,56.903,-7.163,-0.223,transient,failing_to_transiently_reprogram_intermediate,13,O2,False,1
78.751,147.979,78.066,9.735,-12.872,9.826,70.984,65.024,86.183,-41.763,-0.581,-37.238,-3.875,-38.257,-3.449,-19.572,-37.553,-27.855,-33.81,-43.15,7.371,-1.968,-29.285,-38.625,4.078,-5.262,-30.305,-39.644,4.504,-4.836,-11.62,-20.959,-29.601,-38.94,-19.903,-29.242,42.607,58.861,-7.952,1.387,transient,failing_to_transiently_reprogram_intermediate,15,O2,False,1
83.49,148.056,82.292,17.576,-8.486,17.631,73.725,69.577,90.609,-43.405,-2.5,-38.702,-1.363,-38.295,-1.359,-17.242,-37.843,-27.066,-34.895,-43.052,6.011,-2.146,-30.192,-38.349,7.148,-1.009,-29.785,-37.942,7.152,-1.005,-8.731,-16.888,-29.332,-37.489,-18.555,-26.712,43.127,59.001,-8.511,-0.354,transient,failing_to_transiently_reprogram_intermediate,17,O2,False,1
128.089,145.99,122.058,21.032,30.328,21.252,96.438,111.65,121.018,7.351,-2.804,6.555,7.624,6.266,7.716,3.23,8.691,6.332,0.739,8.04,-9.416,-2.115,-0.057,7.243,1.012,8.313,-0.345,6.955,1.104,8.405,-3.382,3.918,2.08,9.38,-0.28,7.021,55.265,58.002,6.612,-0.689,transient,negative_control,10,O2,True,1
118.205,144.682,113.245,11.967,22.191,11.979,94.912,103.867,115.793,-3.168,-5.499,-2.825,-2.291,-3.769,-2.001,3.108,0.226,0.297,-6.265,-2.596,-8.596,-4.927,-5.921,-2.253,-5.387,-1.718,-6.865,-3.197,-5.097,-1.429,0.011,3.68,-2.871,0.798,-2.799,0.869,51.869,56.554,3.096,-0.572,transient,negative_control,13,O2,True,2
117.649,144.171,112.75,11.572,22.141,11.449,94.661,102.952,114.648,-2.864,-4.39,-2.554,-2.037,-3.244,-1.825,4.105,0.375,0.61,-4.76,-0.831,-6.286,-2.357,-4.449,-0.521,-3.933,-0.005,-5.139,-1.211,-3.721,0.208,2.21,6.138,-1.521,2.408,-1.285,2.643,52.455,55.442,1.896,-2.033,transient,negative_control,15,O2,True,2
124.938,146.344,119.249,17.898,27.622,18.085,95.852,108.916,119.426,-1.958,-4.212,-1.746,-1.041,-2.188,-0.904,4.885,1.497,1.75,-4.636,1.192,-6.89,-1.062,-4.424,1.404,-3.72,2.108,-4.866,0.962,-3.582,2.246,2.207,8.035,-1.182,4.647,-0.928,4.9,54.316,56.205,2.678,-3.15,transient,negative_control,17,O2,True,2
113.387,151.597,108.949,5.784,17.796,5.82,89.978,94.267,108.354,-7.351,2.804,-6.555,-7.624,-6.266,-7.716,-3.23,-8.691,-6.332,-0.739,-8.04,9.416,2.115,0.057,-7.243,-1.012,-8.313,0.345,-6.955,-1.104,-8.405,3.382,-3.918,-2.08,-9.38,0.28,-7.021,42.042,59.379,-6.612,0.689,transient,negative_control_intermediate,10,O2,True,1
