clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4,pred_W5
L102484,Doxorubicin,2,0,0.2819646373115759,0.1291816151328634,0.2398239318649122,0.2519520744327371,0.1642497502951251,0.1676927893607877
L102484,Trametinib,2,1,0.194586034559209,0.0755159104304394,0.2398239318649122,0.1666615194765248,0.0969395818400203,0.1051386642123972
L10299,Acid,3,1,0.4704989420167573,0.8385009983202426,0.3760066617458539,0.6241686812509875,0.819765016647255,0.8661452260711118
L10299,Cisplatin,3,1,0.1901270509498604,0.5178088218628984,0.3760066617458539,0.2827333609755754,0.4667486334003642,0.5362341595729999
L10299,CoCl2,3,1,0.2186598922625351,0.5698800915479982,0.3760066617458539,0.3219839420139767,0.5207321453469708,0.5599891461330239
L10299,Dabrafenib,3,0,0.2186598922625351,0.569880091547999,0.3760066617458539,0.3219839420139767,0.5207321453469708,0.4284433959706486
L10299,Doxorubicin,3,1,0.2882083795228566,0.6741527251635806,0.3760066617458539,0.4141521734192,0.6329968005078229,0.6857118000656357
L10299,Trametinib,3,0,0.1919105456868687,0.5212487555439478,0.3760066617458539,0.2852096353240516,0.4702631265110495,0.3680108300968474
L103055,Acid,1,0,0.4758727382102801,0.6445440917976828,0.2806343014923108,0.5062445170348479,0.4962505231637603,0.4443860339490095
L103055,Cisplatin,1,0,0.1945871959380825,0.2718638547597963,0.2806343014923108,0.1958062327990219,0.1580429202695125,0.15097208285887334
L103055,CoCl2,1,0,0.2356004453330165,0.3338862596590888,0.2806343014923108,0.239886813163134,0.2026826126181275,0.1590275438146002
L103055,Dabrafenib,1,0,0.2320338480452489,0.3285267461820262,0.2806343014923108,0.236015613391136,0.1986765449402098,0.14459128811743768
L103055,Doxorubicin,1,0,0.2997994308885851,0.4279829544741482,0.2806343014923108,0.3106594814364929,0.2782070306199505,0.27408513723164296
L103055,Trametinib,1,0,0.1972621510625855,0.2759388297804382,0.2806343014923108,0.1986506569269303,0.160853930820464,0.12829215089729087
