clone_id,treatment,n_naive_cells,naive_pooled_fraction,n_post_cells,post_fraction,post_rank,post_rank_fraction,post_tie_size,detected_post,outcome_observation_status,treatment_sample_available,treatment_total_assigned_cells,naive_source_samples,outer_group,outer_fold
L84060,Acid,4,0.00061643,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1|Naive2|Naive3,L84060,4
L84060,Cisplatin,4,0.00061643,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive2|Naive3,L84060,4
L84060,CoCl2,4,0.00061643,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L84060,4
L84060,Dabrafenib,4,0.00061643,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive2|Naive3,L84060,4
L84060,Doxorubicin,4,0.00061643,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1|Naive2|Naive3,L84060,4
L84060,Trametinib,4,0.00061643,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L84060,4
L8434,Acid,20,0.00308214,93,0.01283467,8,0.00571021,1,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L8434,0
L8434,Cisplatin,20,0.00308214,1,0.00014674,110,0.07851535,163,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L8434,0
L8434,CoCl2,20,0.00308214,3,0.00058434,80,0.05710207,30,True,observed_nonzero,True,5134,Naive1|Naive2|Naive3,L8434,0
L8434,Dabrafenib,20,0.00308214,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive2|Naive3,L8434,0
L8434,Doxorubicin,20,0.00308214,3,0.00105932,96,0.06852248,39,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L8434,0
L8434,Trametinib,20,0.00308214,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L8434,0
L84351,Acid,34,0.00523964,25,0.00345018,57,0.04068522,2,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L84351,3
L84351,Cisplatin,34,0.00523964,1,0.00014674,110,0.07851535,163,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L84351,3
L84351,CoCl2,34,0.00523964,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L84351,3
L84351,Dabrafenib,34,0.00523964,1,0.00016223,182,0.12990721,140,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L84351,3
L84351,Doxorubicin,34,0.00523964,3,0.00105932,96,0.06852248,39,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L84351,3
L84351,Trametinib,34,0.00523964,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L84351,3
L8437,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2,L8437,0
L8437,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L8437,0
L8437,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L8437,0
L8437,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2,L8437,0
L8437,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2,L8437,0
L8437,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2,L8437,0
L84404,Acid,1,0.00015411,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive3,L84404,4
L84404,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L84404,4
L84404,CoCl2,1,0.00015411,1,0.00019478,179,0.12776588,141,True,observed_nonzero,True,5134,Naive3,L84404,4
L84404,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L84404,4
L84404,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L84404,4
L84404,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L84404,4
L84720,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1,L84720,0
L84720,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1,L84720,0
L84720,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1,L84720,0
L84720,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1,L84720,0
L84720,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1,L84720,0
L84720,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1,L84720,0
L84803,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2,L84803,4
L84803,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L84803,4
L84803,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L84803,4
L84803,Dabrafenib,1,0.00015411,41,0.00665152,18,0.01284797,1,True,observed_nonzero,True,6164,Naive2,L84803,4
L84803,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2,L84803,4
L84803,Trametinib,1,0.00015411,4,0.00049438,91,0.0649536,9,True,observed_nonzero,True,8091,Naive2,L84803,4
L85031,Acid,8,0.00123286,8,0.00110406,173,0.12348323,19,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L85031,0
L85031,Cisplatin,8,0.00123286,1,0.00014674,110,0.07851535,163,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L85031,0
L85031,CoCl2,8,0.00123286,2,0.00038956,110,0.07851535,69,True,observed_nonzero,True,5134,Naive1|Naive2|Naive3,L85031,0
L85031,Dabrafenib,8,0.00123286,1,0.00016223,182,0.12990721,140,True,observed_nonzero,True,6164,Naive1|Naive2|Naive3,L85031,0
L85031,Doxorubicin,8,0.00123286,2,0.00070621,135,0.09635974,83,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L85031,0
L85031,Trametinib,8,0.00123286,2,0.00024719,124,0.08850821,37,True,observed_nonzero,True,8091,Naive1|Naive2|Naive3,L85031,0
L85759,Acid,1,0.00015411,5,0.00069004,232,0.165596,35,True,observed_nonzero,True,7246,Naive1,L85759,2
L85759,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1,L85759,2
L85759,CoCl2,1,0.00015411,1,0.00019478,179,0.12776588,141,True,observed_nonzero,True,5134,Naive1,L85759,2
L85759,Dabrafenib,1,0.00015411,36,0.00584036,21,0.01498929,1,True,observed_nonzero,True,6164,Naive1,L85759,2
L85759,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1,L85759,2
L85759,Trametinib,1,0.00015411,28,0.00346064,19,0.01356174,2,True,observed_nonzero,True,8091,Naive1,L85759,2
L85766,Acid,2,0.00030821,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L85766,3
L85766,Cisplatin,2,0.00030821,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L85766,3
L85766,CoCl2,2,0.00030821,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L85766,3
L85766,Dabrafenib,2,0.00030821,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L85766,3
L85766,Doxorubicin,2,0.00030821,2,0.00070621,135,0.09635974,83,True,observed_nonzero,True,2832,Naive3,L85766,3
L85766,Trametinib,2,0.00030821,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive3,L85766,3
L85780,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2,L85780,4
L85780,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2,L85780,4
L85780,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2,L85780,4
L85780,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2,L85780,4
L85780,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2,L85780,4
L85780,Trametinib,1,0.00015411,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2,L85780,4
L85922,Acid,4,0.00061643,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive2|Naive3,L85922,0
