clone_id,treatment,outer_fold,y,pred_W1,pred_W4,pred_W5,detected_post,ranking_eligible
L268666,Dabrafenib,0,0,0.1707339916372407,0.2006995825722023,0.2913616982372379,False,False
L268666,Doxorubicin,0,0,0.2113355690473484,0.2478241122573041,0.1970105778115256,False,False
L268666,Trametinib,0,0,0.1336915543255824,0.157556726345344,0.3834764070109374,False,False
L268930,Acid,4,0,0.2968821351175162,0.2509739555800048,0.2026441427205023,False,True
L268930,Cisplatin,4,0,0.0794343772887644,0.061659078748622,0.0508658113891667,False,True
L268930,CoCl2,4,0,0.0975269614574984,0.0763567845252179,0.062957517899422,False,True
L268930,Dabrafenib,4,1,0.094316337926325,0.0737283501520333,0.0474305292924873,True,True
L268930,Doxorubicin,4,0,0.1364228780661134,0.1089183693981883,0.0931114421259366,False,True
L268930,Trametinib,4,0,0.0755059582532245,0.0585109870542646,0.0497183286174219,False,True
L269067,Acid,2,0,0.2807695161874157,0.2277890299765026,0.0753386986033275,False,True
L269067,Cisplatin,2,0,0.0773739631839097,0.0587956731179702,0.0131038310369002,False,True
L269067,CoCl2,2,0,0.0908442457636326,0.069391108458233,0.0371960637367192,False,True
L269067,Dabrafenib,2,1,0.0908442457636327,0.069391108458233,0.2696950054815175,True,True
L269067,Doxorubicin,2,0,0.1252471706812583,0.09704979730157,0.1150656012625024,False,True
L269067,Trametinib,2,1,0.0730787807484661,0.0554512502011231,0.195182313309501,True,True
L269103,Acid,3,1,0.2800284500633928,0.1857621354423103,0.1599127285420777,True,True
L269103,Cisplatin,3,0,0.0744561004084269,0.0420577482555282,0.0468710974214976,False,True
L269103,CoCl2,3,0,0.090291954794067,0.0516827199247451,0.0391356021068797,False,True
L269103,Dabrafenib,3,0,0.0902919547940672,0.0516827199247451,0.0407986575305485,False,True
L269103,Doxorubicin,3,0,0.1341899264720791,0.0796254459607726,0.1246169796222885,False,True
L269103,Trametinib,3,0,0.0754113559162071,0.0426300765726363,0.0395330541594771,False,True
L269961,Acid,4,1,0.8931400227247168,0.9069579491751124,0.925320414485822,True,True
L269961,Cisplatin,4,0,0.6307315135939235,0.6565542734216679,0.7073923010104246,False,True
L269961,CoCl2,4,1,0.6814413090387891,0.7063163675818188,0.8207707963695942,True,True
L269961,Dabrafenib,4,1,0.6733503727512884,0.6983997044042678,0.5525898081203202,True,True
L269961,Doxorubicin,4,1,0.7576960886374023,0.7805084407537759,0.809537686333631,True,True
L269961,Trametinib,4,0,0.6178372028443089,0.6438745818290948,0.4976386751252726,False,True
L270293,Acid,3,1,0.4964669704286963,0.5822070835988987,0.527970993080539,True,True
L270293,Cisplatin,3,0,0.1693861859591082,0.2114648765930123,0.2370277646061205,False,True
L270293,CoCl2,3,1,0.2010271136525765,0.2497511721215936,0.2337139479881676,True,True
L270293,Dabrafenib,3,1,0.201027113652577,0.2497511721215936,0.2902858062778523,True,True
L270293,Doxorubicin,3,0,0.2820690949694706,0.3457392336959203,0.272481583779625,False,True
L270293,Trametinib,3,1,0.1713339137606074,0.2138279395158778,0.2511653932213913,True,True
L27072,Acid,2,0,0.2807695161874157,0.2524877292360567,0.072074684353972,False,True
L27072,Cisplatin,2,0,0.0773739631839097,0.0667547755427292,0.0103635381771612,False,True
L27072,CoCl2,2,0,0.0908442457636326,0.0786646265015846,0.053515182556584,False,True
L27072,Dabrafenib,2,0,0.0908442457636327,0.0786646265015846,0.2409022854234748,False,True
